record_id,raw_mention,normalized_mention,interaction_count,proposed_concept_code,proposed_name_vi,concept_type,body_system,severity,course,stage,dialysis,criteria_text,source_fragment,expression,is_compound,confidence,ai_status,match_status,mapping_status,reason,review_decision,review_note
condition-mention:3a56ffce7e6e25cf,suy thận,suy than,95,renal_impairment,Suy giảm chức năng thận,organ_impairment,renal,,,,,,suy thận,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:b3a8c3bec47cb06a,suy gan,suy gan,51,hepatic_impairment,Suy giảm chức năng gan,organ_impairment,hepatic,,,,,,suy gan,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:b7ec7190c7676040,suy thận nặng,suy than nang,51,renal_impairment,Suy giảm chức năng thận,organ_impairment,renal,severe,,,,,suy thận nặng,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:9fff6e8d385ea9a8,suy gan nặng,suy gan nang,36,hepatic_impairment,Suy giảm chức năng gan,organ_impairment,hepatic,severe,,,,,suy gan nặng,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:f4a689d65b9ca076,đái tháo đường,dai thao duong,24,diabetes_mellitus,Đái tháo đường,disease,endocrine,,,,,,đái tháo đường,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:9bf61ed7f5e3bae0,suy giảm chức năng thận,suy giam chuc nang than,21,renal_impairment,Suy giảm chức năng thận,organ_impairment,renal,,,,,,suy giảm chức năng thận,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:3850f9f4ec22d2dd,bệnh gan,benh gan,13,liver_disease,Bệnh gan,disease,hepatic,,,,,,bệnh gan,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:ec291cde521ab204,động kinh,dong kinh,11,epilepsy,Động kinh/co giật,disease,neurologic,,,,,,động kinh,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:e6c469b1631b4439,Bệnh thận,benh than,10,kidney_disease,Bệnh thận,disease,renal,,,,,,Bệnh thận,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:bac70e637642e2c8,Suy giảm chức năng gan,suy giam chuc nang gan,10,hepatic_impairment,Suy giảm chức năng gan,organ_impairment,hepatic,,,,,,Suy giảm chức năng gan,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:b0e4605e4fa2a5ef,suy tim,suy tim,10,heart_failure,Suy tim,disease,cardiovascular,,,,,,suy tim,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:8cd5ec1a32862a2d,xơ gan,xo gan,10,cirrhosis,Xơ gan,disease,hepatic,,,,,,xơ gan,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:5e821d4c37b80e50,cường giáp,cuong giap,9,hyperthyroidism,Cường giáp,disease,endocrine,,,,,,cường giáp,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:d18a4a6b5a1d8613,Suy tim mất bù,suy tim mat bu,9,heart_failure,Suy tim,disease,cardiovascular,,,,,,Suy tim mất bù,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:220c44dccfe35eff,đau thắt ngực không ổn định,dau that nguc khong on dinh,8,angina,Đau thắt ngực,disease,cardiovascular,,,,,,đau thắt ngực không ổn định,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:7fa4187f0e715d6e,Sóc tim,soc tim,8,cardiogenic_shock,Sốc tim,disease,cardiovascular,,,,,,Sóc tim,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:025ec1eb6a7614df,Suy thận nặng (độ thanh thải creatinin < 15 ml/phút),suy than nang do thanh thai creatinin < phut,8,renal_impairment,Suy giảm chức năng thận,organ_impairment,renal,severe,,,,độ thanh thải creatinin < 15 ml/phút,Suy thận nặng (độ thanh thải creatinin < 15 ml/phút),single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:a64be74c0d70f88c,Suy tim sung huyết,suy tim sung huyet,8,heart_failure,Suy tim,disease,cardiovascular,,,,,,Suy tim sung huyết,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:24c4f209b6c8d52e,tăng huyết áp,tang huyet ap,8,hypertension,Tăng huyết áp,disease,cardiovascular,,,,,,tăng huyết áp,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:152001bedc1c3a42,Hạ huyết áp nặng,ha huyet ap nang,7,hypotension,Hạ huyết áp,clinical_finding,cardiovascular,severe,,,,,Hạ huyết áp nặng,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:79fb8b5349a9a741,Nhược cơ,nhuoc co,7,myasthenia_gravis,Nhược cơ,disease,neuromuscular,,,,,,Nhược cơ,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:a63d590fafdea99c,tiểu đường,tieu duong,7,diabetes_mellitus,Đái tháo đường,disease,endocrine,,,,,,tiểu đường,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:5de8fb61f736c16c,Bệnh nhân suy thận,benh nhan suy than,6,renal_impairment,Suy giảm chức năng thận,organ_impairment,renal,,,,,,Bệnh nhân suy thận,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:581d06497cbe713e,Phì đại tuyến tiền liệt,phi dai tuyen tien liet,6,benign_prostatic_hyperplasia,Phì đại lành tính tuyến tiền liệt,disease,urologic,,,,,,Phì đại tuyến tiền liệt,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:e56fca0a4c71e5be,rối loạn chuyển hóa porphyrin,roi loan chuyen hoa porphyrin,6,porphyria,Rối loạn chuyển hóa porphyrin,disease,metabolic,,,,,,rối loạn chuyển hóa porphyrin,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:f66ebdf9ea9d9f5a,bệnh nhược cơ,benh nhuoc co,5,myasthenia_gravis,Nhược cơ,disease,neuromuscular,,,,,,bệnh nhược cơ,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:d11db4ddd2568e11,Bệnh Parkinson,benh parkinson,5,parkinson_disease,Bệnh Parkinson,disease,neurologic,,,,,,Bệnh Parkinson,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:8e2a6cbe33f6fbf1,bệnh tim,benh tim,5,cardiovascular_disease,Bệnh tim mạch,disease,cardiovascular,,,,,,bệnh tim,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:c389b67ee8eec8f5,Bệnh tim mạch,benh tim mach,5,cardiovascular_disease,Bệnh tim mạch,disease,cardiovascular,,,,,,Bệnh tim mạch,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:60c23acf1a3fa8cc,Hen phế quản,hen phe quan,5,asthma,Hen phế quản,disease,respiratory,,,,,,Hen phế quản,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:a385ae7711b434e5,loãng xương,loang xuong,5,osteoporosis,Loãng xương,disease,musculoskeletal,,,,,,loãng xương,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:2ac6ff11b1fbe082,Loét dạ dày - tá tràng,loet da day ta trang,5,peptic_ulcer,Loét dạ dày–tá tràng,disease,gastrointestinal,,,,,,Loét dạ dày - tá tràng,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:45aec07263d5aab1,nhồi máu cơ tim,nhoi mau co tim,5,myocardial_infarction,Nhồi máu cơ tim,disease,cardiovascular,,,,,,nhồi máu cơ tim,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:0d564a1ecc53a485,Bệnh đái tháo đường,benh dai thao duong,4,diabetes_mellitus,Đái tháo đường,disease,endocrine,,,,,,Bệnh đái tháo đường,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:3b3b75ea016f72ed,bệnh mạch vành,benh mach vanh,4,ischemic_heart_disease,Bệnh tim thiếu máu cục bộ,disease,cardiovascular,,,,,,bệnh mạch vành,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
