drug1,drug2,status
Aciclovir,Adenosin,unknown
Aciclovir,Albumin Human,unknown
Aciclovir,Amikacin sulfat,compatible
Aciclovir,Aminophyline (Theophylin-ethylendiamin),compatible
Aciclovir,Amiodarone hydrochlorid,incompatible
Aciclovir,Amoxicilin + Acid clavulanic,unknown
Aciclovir,Amphotericin B,incompatible
Aciclovir,Ampicillin + Sulbactam,incompatible
Aciclovir,Atropin Sulfat,unknown
Aciclovir,Azithromycin,compatible
Aciclovir,Bupivacaine HCl,unknown
Aciclovir,Cafein,incompatible
Aciclovir,Calci chlorid,compatible
Aciclovir,Calci gluconat,compatible
Aciclovir,Caspofungin,controversial
Aciclovir,Cefamandol,compatible
Aciclovir,Cefazolin,compatible
Aciclovir,Cefepim,incompatible
Aciclovir,Cefoperazon,compatible
Aciclovir,Cefoperazon + sulbactam,unknown
Aciclovir,Cefotaxim,compatible
Aciclovir,Cefoxitin,compatible
Aciclovir,Ceftarolin,compatible
Aciclovir,Ceftazidim,compatible
Aciclovir,Ceftazidim  +  Avibactam,unknown
Aciclovir,Ceftriaxon,compatible
Aciclovir,Ciprofloxacin,incompatible
Aciclovir,Clindamycin,compatible
Aciclovir,Deferoxamin mesilat,unknown
Aciclovir,Dexamethason phosphat,compatible
Aciclovir,Dextrose,unknown
Aciclovir,Diazepam,incompatible
Aciclovir,Diphenhydramin hydroclorid,controversial
Aciclovir,Dobutamine Hydrochlorid,incompatible
Aciclovir,Dopamin hydrochlorid,incompatible
Aciclovir,Enoxaparin natri,unknown
Aciclovir,Adrenalin,incompatible
Aciclovir,Esomeprazol,unknown
Aciclovir,Fentanyl,compatible
Aciclovir,Filgrastim,compatible
Aciclovir,Fluconazol,compatible
Aciclovir,Fosfomycin Sodium,unknown
Aciclovir,Furosemid,compatible
Aciclovir,Ganciclovir,unknown
Aciclovir,Gentamicin,controversial
Aciclovir,Heparin natri,compatible
Aciclovir,Gelatin,unknown
Aciclovir,Benzylpenicilin natri,unknown
Aciclovir,Acid tranexamic,unknown
Aciclovir,Hydrocortison,unknown
Aciclovir,Iloprost,unknown
Aciclovir,Imipenem + Cilasatin,compatible
Aciclovir,Immune globulin,unknown
Aciclovir,Insulin aspart,unknown
Aciclovir,Iohexol,unknown
Aciclovir,Iopromide,unknown
Aciclovir,Ketamine,incompatible
Aciclovir,Ketorolac Tromethamol,incompatible
Aciclovir,Levobupivacain,unknown
Aciclovir,Levofloxacin,incompatible
Aciclovir,Lidocain hydroclorid,incompatible
Aciclovir,Linezolid,compatible
Aciclovir,Magie Chlorid,unknown
Aciclovir,Magie sulfat,compatible
Aciclovir,Manitol,compatible
Aciclovir,Meropenem,controversial
Aciclovir,Methotrexat,compatible
Aciclovir,Methylprednisolon,unknown
Aciclovir,Metronidazol,compatible
Aciclovir,Micafungin natri,unknown
Aciclovir,Midazolam,incompatible
Aciclovir,Milrinone,compatible
Aciclovir,Morphin sulfat,controversial
Aciclovir,Kali chlorid,compatible
Aciclovir,Natri colistimethat,unknown
Aciclovir,Recombinant Human Erythropoietin alfa,unknown
Aciclovir,Naloxon hydroclorid,controversial
Aciclovir,Neostigmin methylsulfat,unknown
Aciclovir,Nicardipin hydrochlorid,incompatible
Aciclovir,Noradrenalin,unknown
Aciclovir,Octreotide,compatible
Aciclovir,Omeprazol,unknown
Aciclovir,Ondansetron,incompatible
Aciclovir,Oxacilin,compatible
Aciclovir,Pantoprazol,controversial
Aciclovir,Phenobarbital,compatible
Aciclovir,Phytomenadion,unknown
Aciclovir,Piperacilin + Tazobactam,incompatible
Aciclovir,Propofol,compatible
Aciclovir,Rocuronium Bromid,compatible
Aciclovir,Natri bicarbonat,compatible
Aciclovir,Natri Chlorid,unknown
Aciclovir,Natri lactat,unknown
Aciclovir,Sugammadex,unknown
Aciclovir,Terbutalin sulfat,unknown
Aciclovir,Tinidazol,unknown
Aciclovir,Tobramycin sulfat,compatible
Aciclovir,Vancomycin,compatible
Aciclovir,Voriconazol,compatible
Acid tranexamic,Adenosin,unknown
Acid tranexamic,Albumin Human,unknown
Acid tranexamic,Amikacin sulfat,unknown
Acid tranexamic,Aminophyline (Theophylin-ethylendiamin),unknown
Acid tranexamic,Amiodarone hydrochlorid,unknown
Acid tranexamic,Amoxicilin + Acid clavulanic,unknown
Acid tranexamic,Amphotericin B,unknown
Acid tranexamic,Ampicillin + Sulbactam,incompatible
Acid tranexamic,Atropin Sulfat,unknown
Acid tranexamic,Azithromycin,unknown
Acid tranexamic,Bupivacaine HCl,unknown
Acid tranexamic,Cafein,unknown
Acid tranexamic,Calci chlorid,unknown
Acid tranexamic,Calci gluconat,unknown
Acid tranexamic,Caspofungin,unknown
Acid tranexamic,Cefamandol,unknown
Acid tranexamic,Cefazolin,unknown
Acid tranexamic,Cefepim,unknown
Acid tranexamic,Cefoperazon,unknown
Acid tranexamic,Cefoperazon + sulbactam,unknown
Acid tranexamic,Cefotaxim,unknown
Acid tranexamic,Cefoxitin,unknown
Acid tranexamic,Ceftarolin,unknown
Acid tranexamic,Ceftazidim,unknown
Acid tranexamic,Ceftazidim  +  Avibactam,unknown
Acid tranexamic,Ceftriaxon,unknown
Acid tranexamic,Ciprofloxacin,unknown
Acid tranexamic,Clindamycin,unknown
Acid tranexamic,Deferoxamin mesilat,unknown
Acid tranexamic,Dexamethason phosphat,unknown
Acid tranexamic,Dextrose,unknown
Acid tranexamic,Diazepam,unknown
Acid tranexamic,Diphenhydramin hydroclorid,unknown
Acid tranexamic,Dobutamine Hydrochlorid,unknown
Acid tranexamic,Dopamin hydrochlorid,unknown
Acid tranexamic,Enoxaparin natri,unknown
Acid tranexamic,Adrenalin,unknown
Acid tranexamic,Esomeprazol,unknown
Acid tranexamic,Fentanyl,unknown
Acid tranexamic,Filgrastim,unknown
Acid tranexamic,Fluconazol,unknown
Acid tranexamic,Fosfomycin Sodium,unknown
Acid tranexamic,Furosemid,unknown
Acid tranexamic,Ganciclovir,unknown
Acid tranexamic,Gentamicin,unknown
Acid tranexamic,Heparin natri,compatible
Acid tranexamic,Gelatin,unknown
Acid tranexamic,Benzylpenicilin natri,incompatible
Acid tranexamic,Hydrocortison,unknown
Acid tranexamic,Iloprost,unknown
Acid tranexamic,Imipenem + Cilasatin,unknown
Acid tranexamic,Immune globulin,unknown
Acid tranexamic,Insulin aspart,unknown
Acid tranexamic,Iohexol,unknown
Acid tranexamic,Iopromide,unknown
Acid tranexamic,Ketamine,unknown
Acid tranexamic,Ketorolac Tromethamol,unknown
Acid tranexamic,Levobupivacain,unknown
Acid tranexamic,Levofloxacin,unknown
Acid tranexamic,Lidocain hydroclorid,unknown
Acid tranexamic,Linezolid,unknown
Acid tranexamic,Magie Chlorid,unknown
Acid tranexamic,Magie sulfat,unknown
Acid tranexamic,Manitol,unknown
Acid tranexamic,Meropenem,unknown
Acid tranexamic,Methotrexat,unknown
Acid tranexamic,Methylprednisolon,unknown
