Hoạt chất,Hàm lượng,Biệt dược,Dạng bào chế,Nước sản xuất,Chỉ định,Chống chỉ định,Liều dùng,Liều dùng tối đa,Thận trọng,Sử dụng thuốc cho PN có thai và cho con bú,Tương tác thuốc,Tác dụng không mong muốn,Bảo quản,Tài liệu tham khảo,Hình ảnh biệt dược
Galantamin hydrobromid,5mg,Nivalin,Viên nén,Bulgaria,Điều trị sa sút trí tuệ Alzheimer từ nhẹ đến trung bình,"Mẫn cảm với bất kỳ thành phần thuốc
Suy gan nặng (child-Pugh >9)
Suy thận nặng (Creatinin < 9ml/phut)
Không dùng cho trẻ em
Đồng thời suy giảm nhiều chức năng gan và thận","1 viên (5mg)/lần x 2 lần/ngày x 4 tuần
Sau đó có thể tăng lên 2 v/l x 2 l/ngày",Suy gan/thận độ trung bình: Không quá 3 v/ngày,"- Tim mạch: BN loạn nhịp trên thất, dùng thuốc chậm tim
- Tiêu hóa: BN tiền sử loét dạ dày - tá tràng, đang dùng NSAIDs
- Tiết niệu: gây bí tiểu tiện
- Thần kinh: tăng nguy cơ co giật, động kinh
- Hô hấp: BN tiền sử hen or BPTNMT
- Người suy gan/thận từ nhẹ đến trung bình
- Khi gây mê dùng succinylcholin/thuốc chẹn thần kinh cơ","Cẩn trọng khi dùng cho PNCT
Không chỉ định thuốc với PN cho con bú","- Hiệp đồng thuốc giãn cơ
- Thuốc kháng chilinergic: đối kháng
- Thuốc kích thích cholinergic: hiệp đồng khi dùng đồng thời
- NSAIDs: tăng nguy cơ chảy máu tiêu hóa
- Thuốc chậm nhịp tim + ức chế beta: có khả năng xảy ra tt
- Thuốc ức chế CP450: thay đổi chuyển hóa
- Cimetidin, paroxetin: tăng AUCc, AUCt
- Amitriptylin, fluocetin, fluvoxamin, quinidin: giảm thanh thải","ADR>1/1000: buồn nôn, tiêu chảy, chán ăn, sụt cân, đau bụng, khó tiêu","<30 độ, trong bao bì gốc",https://drive.google.com/file/d/1_Co7jZ0ZI4A41MZ0TdGPp2BClcgk1hWo/view,
Cefaclor monohydrat,500mg,Met-cefaclor,Viên nang cứng,Romania,"Điều trị nhiễm khuẩn do vi khuẩn nhạy cảm:
- NK đường hô hấp
- Viêm tại giữa
- NK da và mô mềm
- NK đường tiết niệu","Quá mẫn với bất kỳ thành phần của thuốc
Quá mẫn với các cephalosporin khác","- Người lớn: 250mg mỗi 8h, có thể tăng gấp đôi liều nếu nặng
- Bệnh nhân đang thẩm tách máu: Khởi đầu 250mg-1g trước khi lọc máu, duy trì 250-500mg mỗi 6-8h
- Trẻ em: 20mg/kg/ngày chia nhiều lần sau 8h; VPQ/VP chia 3 lần; viêm tai giữa, viêm họng dùng cách nhau 12 giờ; nặng khuyến cáo 40mg/kg/ngày","- Người lớn: 4g
- Trẻ em: 1g","- Chức năng thận suy giảm rõ rệt
- Tiền sử bệnh dạ dày -  ruột, đặc biệt là viêm đại tràng
- Xét nghiệm Coombs dương tính có thể do thuốc
- Dương tích giả với glucose niệu",Thận trọng,"- Prothrombin ức chế bài tiết cefa
- Tăng thời gian prothrombin: wafarin + wafarin","- Tiêu chảy
- Dị ứng
- Rối loạn tăng động có hồi phục, kích động, lo lắng
- Tăng bạch cầu ái toan","<30 độ, trong bao bì gốc",https://drive.google.com/file/d/1cZgMlcw46w28yn0JPwWu6hGVX_v3eyLE/view,
"Amlodipine camsylate
Losartan kali","5mg/50mg
5mg/100mg",Cozaae XQ,viên nén bao phim,Hàn Quốc,Điều trị THA vô căn ở người lớn không kiểm soát tốt với đơn trị liệu bằng losartan hay amlodipine,"Tiền sử nhạy cảm với các hoạt chất hoặc dihydropyridine
PNMT,PNCB
Suy gan nặng
Hẹp van động mạch chủ nặng
BN bị sốc
BN ĐTĐ: Không dùng đồng thời với aliskiren",Liều khuyến cáo : 1 viên/ ngày,5mg/100mg,"BN bị giảm thể tích
BN có chế độ ăn hạn chế muối nghiêm ngặt
BN suy thận nặng hoặc đang thẩm phân
Tụt HA
Suy gan
Trẻ em <18 tuối",Thận trọng,"Dùng đồng thời các thuốc lợi tiểu giữ kali, thuốc bỏ sung kali, thay thế muối chứa kali có thể làm tăng kali huyết thanh
Giảm thải trừ lithi
Tổn hải chức năng thận với BN suy giảm CN thận
Theo dõi chặt chẽ Huyết áp,  chức năng thận và điện giải khi dùng COZAAR XQ với các thuốc ảnh hưởng đến RAAS
Không dùng Aliskiren với COZAAR với BN ĐTĐ
Enzym CYP 450 làm giảm nồng độ chuyển hóa các chất chuyển hóa có hoạt tính Losartan
Kết hợp với Simvastatin làm tăng 77% mức tiếp xúc của simvastatin
Chất ức chế CYP3A4 làm tăng nồng độ amlodipine gây hạ huyết áp, phù nề","RL hệ TK:Choáng váng, nhức đầu, buồn ngủ
RL toàn thân và tại chỗ: suy nhược, khó chịu ở ngực, đau ngực, chóng no, phù ngoại biên, phù ấn lõm
RL tiêu hóa: bụng khó chịu, khó tiêu, buồn nôn, viêm thực quản
RL da, mô dưới da: ngứa, mày đay
RL tim đỏ bừng, hạ HA tư thế đứng
RL hô hấp, ngực, trung thất: Khó thở
RL cơ quan cảm giác: chóng mặt
 RL thận và tiết niệu: đái rắt","<30 độ, trong bao bì gốc. Tránh ẩm",https://drive.google.com/file/d/1WPrVO8kPSspukCJN82_XXPAA_MNRD6Zw/view,
N-Acetyl DL-Leucine,500 mg,Savi Leucin,Viên nén,Việt Nam,Điều trị triệu chứng cơn chóng mặt,Quá mẫn với N-Acetyl DL-leucin hay bất kỳ thành phần nào của thuốc,"Người lớn: Uống 3 đến 4 viên 500 mg mỗi ngày, chia làm 2 lần/ngày",,,Không nên sử dụng,,"Rất hiếm gặp, ADR < 1/10000.
Phát ban (đôi khi kèm theo ngứa), nổi mày đay","Nơi khô, nhiệt độ không quá 30°C, tránh ánh sáng",http://drive.google.com/file/d/13FonZW1LB9fv3bx1V9dRfkrx7RuBvRd-/view,
"Paracetamol
Methocarbamol","P...325mg
M...400mg",SaviMetoc,Viên nén bao phim,Việt Nam,"Giảm đau liên quan đến co thắt cơ như đau lưng, co cứng cổ, trật khớp hoặc bong gân","- Quá mẫn với methocarbamol, paracetamol hoặc bất cứ thành phần nào của thuốc.
- Suy gan nặng
- Tổn thương não, động kinh.
- Hôn mê hoặc tiền hôn mê.
- Nhược cơ","Người lớn và trẻ em từ 12 tuổi trở lên
Uống 2 viên/lần, cách 6 giờ uống 1 lần
Không dùng SaviMetos cho trẻ em dưới 12 tuổi",8 viên/ngày,"Không dùng thuốc khác chứa P or M
Ngưng thuốc khi có phản ứng dị ứng
Thông báo nếu nghiện rượu, suy gan, thận, PNCT or CCB
Không dùng khi đang dùng IMAO hoặc đã ngưng IMAO trong vòng 2 tuần trước đó",Không nên dùng SaViMetoc ở phụ nữ có thai trừ khi lợi ích mang lại vượt hẳn nguy cơ,"- Tăng tác dụng: Chất ức chế và KT hệ TKTW, kháng cholinergic, hướng thần; Chống đông coumarin + dc indandion (liều cao dài ngày)
- Ức chế tác dụng: Pyridostigmine bromid
- Tăng độc tính: Rượu, isoniazid, chống lao","Ngưng thuốc và đến gặp bác sĩ hoặc cơ sở y tế gần nhất ngày nếu xuất hiện các phản ứng dị ứng như thở khò khè, phát ban và ngứa.","Nơi khô, nhiệt độ không quá 30°C, tránh ánh sáng",https://drive.google.com/file/d/1G9pZ5cBpo92KjqC2XN4rlmAj_vj6IVas/view,
Bisoprolol + hydroclorothiazid,"B...5mg
H....6,26mg",Savi Prolol Plus HCT 5/6.25,Viên nén,Việt Nam,Kiểm soát tình trạng tăng huyết áp,"- Quá mẫn với bất kỳ thành phần nào của thuốc, các thuốc lợi tiểu thiazide hoặc các dẫn xuất sulfonamide khác.
-  Suy tim cấp tính hoặc suy tim mất bù cần điều trị thuốc co cơ đường tiêm tĩnh mạch.
-  Sốc tim.
-  Block nhĩ thất độ II hoặc III.
-  Hội chứng nút xoang.
-  Block xoang-nhĩ
-  Nhịp tim chậm
-  Hen suyễn nặng.
-  Tắc động mạch ngoại vi và hội chứng Raynaud dạng nặng.
-  U tế bào ưa crom.
-  Suy thận nặng (độ thanh thải/creatinine ≤  30 ml/phút).
-  Suy gan nặng.
-  Toan chuyển hóa.
-  Hạ kali huyết kéo dài.
-  Chậm nhịp xoang nặng.
-  Vô niệu.",Khởi đầu: 1v/ngày,"20mg/12,5mg (~2 liều 10mg/6,25mg) mỗi ngày 1 lần","- Dấu hiệu về dịch và rối loạn chất điện giải
- Tăng acid uric huyết
- Tăng đường huyết",Khi lợi ích vượt nguy cơ,"- Tăng tác dụng: thuốc hạ huyết áp
- Không dùng phối hợp với thuốc beta khác
- Thận trọng dùng chung với các thuốc ức chế co bóp cơ tim, ức chế dẫn truyền nhĩ thất or thuốc trầm cảm","Thường gặp
- Rối loạn tiêu hóa
- Cảm giác lạnh hoặc tê tứ chi
- Chóng mặt, đau đầu, mệt mỏi","Nơi khô, nhiệt độ không quá 30°C, tránh ánh sáng",https://drive.google.com/file/d/1QM3B18c5eScIUy13fzQQu8gzItXIHVVA/view,
Deferasirox,90/180/360 mg,Jadenu,Viên nén bao phim,Rumani,"ĐT quá tài sắt mạn tính do truyền máu thường xuyên (≥ 7 ml hồng cầu lắng/kg/tháng) ở bệnh nhân từ 6 tuổi trở lên bị bệnh beta thalassaemia thể nặng.
ĐT quá tải sắt mạn tính do truyền máu khi chống chì định dùng deferoxamine hoặc điều trị bằng deferoxamine không thỏa đáng ở các nhóm bệnh nhân sau:
-trẻ em từ 2-5 tuổi bị bệnh beta thalassaemia thể nặng có quá tải sắt do truyền máu thường xuyên (≥ 7 ml hồng cầu lắng/kg/tháng),
- người lớn và trẻ em từ 2 tuổi trở lên bị bệnh beta thalassaemia thể nặng có quá tải sắt do truyền máu không thường xuyên (< 7 ml hồng cầu lăng/kg/thàng),
-  người lớn và trẻ em từ 2 tuổi trở lên bị các bệnh thiếu máu khác.
JADENU cũng được chỉ định để điều trị quá tải sắt mạn tinh đỏi hỏi liệu pháp thải sắt (chelat hóa sắt) khi chống chỉ định dùng deferoxamine hoặc điều trị bằng deferoxamine không thoa đáng ở bệnh nhân từ 10 tuổi trở lên bị hội chứng thalassaemia không phụ thuộc truyền máu.","Quá mẫn với bất kỳ thành phần của thuốc
BN có độ thanh thai creatinin ước tính< 60ml/phút",Liều khởi đầu:7-14mg/kg/ngày,28-40mg/kg/ngày,"-Tăng nồng độ creatinin huyết thanh > 33% ở ≥ 2 lần xét nghiệm liên tiếp, đôi khi vượt quá giới hạn trên của mức bình thường, xảy ra ở khoảng 36% bệnh nhân. Sự tăng này phụ thuộc liều dùng
-Trường hợp suy thận cấp đã được báo cáo sau khi sử dụng deferasirox hậu mãi
-Cần thận trọng để duy trì sự bú nước đầy đủ ở những bệnh nhân bị tiêu chảy hoặc nôn.
-Đã có báo cáo hậu mãi về nhiễm acid chuyển hóa xảy ra trong khi điều trị bằng deferasirox. Đa số những bệnh nhân này bị suy thận, bệnh ống thận (hội chứng Fanconi) hoặc tiêu chảy, hoặc các tinh trạng mà sự mất cân bằng acid-base là một biến chứng đã biết. Cần theo dõi cân bằng acid-base khi có chỉ định lâm sàng ở những nhóm bệnh nhân này. Cần xem xét tạm ngưng điều trị băng JADENU ở những bệnh nhân phát sinh nhiễm acid chuyển hóa.
- Bệnh lý thận (như hội chứng Fanconi) và suy thận liên quan đến những thay đổi trong ý thức khi có bệnh não do tăng amoniac máu đã được báo cáo",Khuyến cáo không sủ dụng,"-Không được kết hợp với các liệu pháp thải sắt khác
-rifampicin,carbamazepine, phenytoin, phenobarbital, ritonavir: giảm nồng đô toàn thân của JADENU
- Ciclosporin, simvastatin, thuốc tránh thai hormon, bepridil, ergotamine: giảm nồng độ midazolam
-Tránh sử dụng đồng thời deferasirox với repaglinide, paclitaxel
- Không khuyến cáo dùng đồng thời deferasirox với theophylline
- không khuyến cáo dùng deferasirox dạng viên với các chế phẩm kháng acid chứa nhôm.
- Dùng đồng thởi deferasirox với  acid acetylsalicylic ở liêu cao, corticosteroid hoặc bisphosphonate đường uống có thể làm tăng nguy cơ nhiễm độc đường tiêu hóa
- Sử dụng đồng thời deferasirox với thuốc chống đông cũng có thể làm tăng nguy cơ xuất huyết đường tiêu hóa. Cần phải theo dõi lâm sàng khi kết hợp deferasirox với các thuốc này.
-Dùng đồng thời deferasirox và busulfan dẫn đến gia tăng phơi nhiễm với busulfan (AUC), nhưng cơ chề tương tác vẫn chưa rõ ràng. Nếu có
thể, nên đánh giá dược động học (AUC, độ thanh thải) của liều thử nghiệm busulfan để cho phép điều chỉnh liều.",,,https://drive.google.com/file/d/19vyXEYEnLNa3clvMA4Faqf5VhyhgX40C/view,
Risedronat natri,35mg,Savirisone 35,Viên bén bao phim,Việt Nam,"Điều trị loãng xương sau mãn kinh để giảm nguy cơ gãy xương cột sống và gãy xương hông.
Điều trị loãng xương ở nam giới có nguy cơ gãy xương cao","Mẫn cảm với bất kỳ thành phần nào của thuốc.
Hạ calci huyết.
Phụ nữ có thai và cho con bú.
Suy thận nặng (Độ thanh thải creatinin < 30ml/phút)","- Người lớn: 1 viên 35mg/lần/tuần.
- Suy thận: Không cần chỉnh liều ở bệnh nhân suy thận nhẹ và trung bình.
- Không khuyến cáo sử dụng SaViRisone 35 cho trẻ em dưới 18 tuổi",,"- BN có tiền sử rối loạn thực quản gây chậm làm rỗng thực quản như hẹp hoặc không co giãn.
- BN không thể ngồi thẳng ít nhất 30 phút sau khi uống thuốc.
- BN đang mắc hoặc gần đây có vấn đề về tiêu hóa hoặc thực quản (bao gồm thực quản Barrett).",Không nên sử dụng,Không có nghiên cứu chính thức,"Nhẹ, trung bình
- Đau đầu, táo bón, khó tiêu, buồn nôn
- Đau cơ xương","Nơi khô, nhiệt độ không quá 30°C, tránh ánh sáng",https://drive.google.com/file/d/1JGiYl43tsod0pcpM1oi2lTpiowQkw6d8/view,
Doxazosin mesylate,2mg,Schaaf,Viên nén bao phim,Việt Nam,"- Kiểm soát tăng huyết áp
- Điều trị tắc nghẽn đường tiểu trong phì đại lãnh tính tuyến tiền liệt","Quá mẫn với dẫn chất quinazolin, doxazosin hoặc với bất kỳ thành phần nào của thuốc.
Bệnh nhân có tiền sử hạ huyết áp tư thế, phì đại lành tính tuyến tiền liệt và đồng thời bị tắc nghẽn đường tiết niệu trên, nhiễm trùng đường tiết niệu mạn tính hoặc sỏi bàng quang.
Phụ nữ cho con bú (chỉ cho chỉ định tăng huyết áp).
Bệnh nhân bị tụt huyết áp (chỉ cho chỉ định phì đại lành tính tuyến tiền liệt).
Doxazosin chống chỉ định dùng đơn trị ở bệnh nhân bị tràn bàng quang hoặc vô niệu kèm hoặc không kèm suy thận tiến triển.",Người lớn: 1 - 2mg/1 lần/ngày (huyết áp); 1 - 4mg/ngày,Không quá 16mg/ngày,"- Hạ huyết áp tư thế/hôn mê
- Dùng thuốc ở BN có tình trạng cấp tính ở tim
- BN suy gan, thận
- Dùng đồng thời với các thuốc ức chế PDE5
- Bệnh nhân phẫu thuật đục thủy tinh thể
- Cương dương kéo dài
- Khám sàng lọc ung thư tiền liệt tuyến
- Tá dược polysorbate có thể gây dị ứng, dầu thầu dầu gây buồn nôn, đau bụng, tiêu chayt",Chỉ được dùng khi cần thiết,Thuốc ức chế PDE-5 (gây hạ áp); Thuốc hạ áp khác; NSAID; Cimetidin; Estrogen.,"Chóng mặt, đau đầu; Đánh trống ngực, hạ huyết áp tư thế; Khó thở; Buồn nôn; Suy nhược, phù.","Nơi khô ráo, tránh ánh sáng, dưới 30°C.",https://drive.google.com/file/d/1zIsjOXXbuAskYeyDofaiUwiOkPqdfQF4/view,
Bromhexin hydroclorid,16mg,Agi-Bromhexine® 16,Viên nang cứng,Việt Nam,"Rối loạn tiết dịch phế quản, nhất là trong viêm phế quản cấp tính  của viêm phế quản mạn tính.
Bromhexin thường được dùng như một chất bổ trợ với kháng sinh, khi bị nhiễm khuẩn nặng đường hô hấp",Mẫn cảm với bromhexin hoặc với bất kỳ thành phần nào của thuốc,"Người lớn và trẻ em trên 10 tuổi: Uống 1 viên/lần, ngày uống 3 lần",,"- Tránh phối hợp với thuốc chống ho, giảm tiết phế quản
- BN tiền sử loét dạ dày
- BN hen
- BN suy gan or suy thận, người cao tuổi or suy nhược, yếu, trẻ em",Không khuyến cáo,"Không phối hợp bromhexin với thuốc làm giảm tiết dịch (giảm cả dịch tiết khí phế quản) như các thuốc kiểu atropin (hoặc anticholinergic) vì làm giảm tác dụng của bromhexin. Không phối hợp với các thuốc chống họ.
Khi kết hợp bromhexin với các kháng sinh (amoxicilin, cefuroxim, erythromycin, doxycyclin) làm tăng nồng độ kháng sinh vào mô phổi và phế quản","It gặp: 1/1000 <ADR< 1/100
Tiêu hóa: Đau vùng thượng vị, buồn nôn, nôn, tiêu chảy.
Thần kinh: Nhức đầu, chóng mặt, ra mồ hôi.
Da: Ban da, mày đay.
Hô hấp: Nguy cơ ứ dịch tiết phế quản ở người bệnh không có khả năng khạc đờm.","Nơi khô, nhiệt độ không quá 30°C, tránh ánh sáng",https://drive.google.com/file/d/1jk47MhT5pYSZIPeFBHDtOZXU4MiBFMHr/view,
